#time  flux    error
55026.5304561     0.990657978642     3.8e-05
55026.5508902     0.988943089857     3.8e-05
55026.5713242     0.987625004304     3.8e-05
55026.5917582     0.977793066596     3.8e-05
55026.6121921     0.956081526998     3.8e-05
55026.6326262     0.925571579892     3.8e-05
55026.6530602     0.89343813348     3.8e-05
55026.6734941     0.865504629195     3.8e-05
55026.6939281     0.840285042424     3.8e-05
55026.7143621     0.828205222559     3.8e-05
55026.734796     0.827907239136     3.8e-05
55026.75523     0.839720052481     3.8e-05
55026.7756641     0.864031983576     3.8e-05
55026.796098     0.893055470111     3.8e-05
55026.816532     0.925048294289     3.8e-05
55026.8369661     0.954742747337     3.8e-05
55026.8574001     0.977632978575     3.8e-05
55026.8778339     0.98759581277     3.8e-05
55026.8982679     0.988730101969     3.8e-05
55026.918702     0.99024495042     3.8e-05
55026.9391359     0.991761823383     3.8e-05
55026.9595699     0.99292672514     3.8e-05
55026.980004     0.99402548027     3.8e-05
55027.0004379     0.996201370349     3.8e-05
55027.0413058     0.998919497537     3.8e-05
55027.0617398     1.00044821703     3.8e-05
55027.0821738     1.00077661427     3.8e-05
55027.1026078     1.00366551416     3.8e-05
55027.1230418     1.00348015351     3.8e-05
55027.1434757     1.00599790039     3.8e-05
55027.1639097     1.00610474903     3.8e-05
55027.1843436     1.00810375506     3.8e-05
55027.2047777     1.00882985854     3.8e-05
55027.2252117     1.00966126424     3.8e-05
55027.2456456     1.01080846681     3.8e-05
55027.2660796     1.01125863917     3.8e-05
55027.2865136     1.01196732607     3.8e-05
55027.3069476     1.01238537576     3.8e-05
55027.3273815     1.01257784818     3.8e-05
55027.3478156     1.01307522967     3.8e-05
55027.3682495     1.01284741016     3.8e-05
55027.3886834     1.01263078173     3.8e-05
55027.4091175     1.01334438297     3.8e-05
55027.4295515     1.01183895043     3.8e-05
55027.4499854     1.01251045504     3.8e-05
55027.4704193     1.01093859888     3.8e-05
55027.4908534     1.01032798272     3.8e-05
55027.5112873     1.00998471753     3.8e-05
55027.5317213     1.00890099069     3.8e-05
55027.5521554     1.0075077688     3.8e-05
55027.5725892     1.00722870435     3.8e-05
55027.5930232     1.00484880722     3.8e-05
55027.6134572     1.00434462335     3.8e-05
55027.6338912     1.00320587902     3.8e-05
55027.6543251     1.00146104665     3.8e-05
55027.6747591     0.999991918225     3.7e-05
55027.6951932     0.999027158298     3.7e-05
55027.7156271     0.997046139714     3.7e-05
55027.736061     0.995863306264     3.7e-05
55027.7564949     0.994872369018     3.7e-05
55027.776929     0.992468202637     3.7e-05
55027.797363     0.992346295952     3.7e-05
55027.8177969     0.990020148574     3.6e-05
55027.8382309     0.989182318679     3.6e-05
55027.8586649     0.987529274606     3.6e-05
55027.8790988     0.97403597208     3.6e-05
55027.8995327     0.946682447807     3.6e-05
55027.9199668     0.913014868539     3.6e-05
55027.9404008     0.876335581398     3.6e-05
55027.9608346     0.843318062046     3.5e-05
55027.9812687     0.819724390234     3.5e-05
55028.0017027     0.806393202474     3.5e-05
55028.0221365     0.808656959435     3.5e-05
55028.0425705     0.824547083026     3.5e-05
55028.0630046     0.85214323015     3.5e-05
55028.0834385     0.885767558545     3.5e-05
55028.1038724     0.921938051008     3.6e-05
55028.1243065     0.954412017373     3.6e-05
55028.1447405     0.978043777897     3.6e-05
55028.1651743     0.986269141926     3.6e-05
55028.1856083     0.987679243876     3.6e-05
55028.2060424     0.988640446914     3.6e-05
55028.2264762     0.989871793812     3.6e-05
55028.2469102     0.992363426522     3.7e-05
55028.2673443     0.992821155985     3.7e-05
55028.2877781     0.995452398679     3.7e-05
55028.3082121     0.996601171672     3.7e-05
55028.3286461     0.998036652414     3.7e-05
55028.34908     1.00058296266     3.7e-05
55028.369514     1.00161741426     3.7e-05
55028.389948     1.00380985206     3.7e-05
55028.410382     1.00510059472     3.8e-05
55028.4308159     1.00726178386     3.8e-05
55028.4512498     1.00877235847     3.8e-05
55028.4716837     1.01044192148     3.8e-05
55028.4921178     1.01140451604     3.8e-05
55028.5125517     1.01287763323     3.8e-05
55028.5329856     1.01355956239     3.8e-05
55028.5534197     1.01418828233     3.8e-05
55028.5738536     1.01554745095     3.8e-05
55028.5942876     1.01501102672     3.8e-05
55028.6147215     1.01567652811     3.8e-05
55028.6351555     1.01564436071     3.8e-05
55028.6555895     1.01517272495     3.8e-05
55028.6760233     1.01496811591     3.8e-05
55028.6964574     1.01381586944     3.8e-05
55028.7168914     1.01365821503     3.8e-05
55028.7373252     1.01161766146     3.8e-05
55028.7577592     1.01093662647     3.8e-05
55028.7781932     1.00927084488     3.8e-05
55028.7986271     1.00776151227     3.8e-05
55028.8190611     1.00615339807     3.8e-05
55028.8394951     1.0046087956     3.8e-05
55028.859929     1.00246840553     3.8e-05
55028.8803629     1.00071401184     3.8e-05
55028.9007969     0.999218903948     3.8e-05
55028.9212309     0.996850036458     3.8e-05
55028.9416648     0.996304798575     3.8e-05
55028.9620988     0.993164240718     3.8e-05
55028.9825327     0.992221272485     3.8e-05
55029.0029667     0.99134735032     3.8e-05
55029.0234006     0.989019401806     3.8e-05
55029.0438345     0.987935914671     3.8e-05
55029.0642685     0.975277693771     3.8e-05
55029.0847024     0.95310127934     3.8e-05
55029.1051364     0.922847615661     3.8e-05
55029.1255704     0.890907291825     3.8e-05
55029.1460043     0.86197147683     3.8e-05
55029.1664382     0.839023037573     3.8e-05
55029.1868721     0.827647423645     3.8e-05
55029.2073062     0.828710466799     3.8e-05
55029.2277402     0.84311334913     3.8e-05
55029.248174     0.866743485854     3.8e-05
55029.2686081     0.897686920896     3.8e-05
55029.2890419     0.928709045071     3.8e-05
55029.3094759     0.957269355056     3.8e-05
55029.3299098     0.980231995292     3.8e-05
